voltage       energy       rate         uncertainty
-2.000000e+00 8.590497e+00 3.526683e-10 4.096785e-11
-1.800000e+00 7.040684e+00 4.529580e-10 5.191863e-11
-1.600000e+00 5.650087e+00 6.230846e-10 7.002585e-11
-1.400000e+00 4.416902e+00 7.883302e-10 8.792779e-11
-1.200000e+00 3.339355e+00 9.130713e-10 1.018865e-10
-1.000000e+00 2.415709e+00 9.635512e-10 7.689250e-11
-8.000000e-01 1.644256e+00 1.019336e-09 8.081727e-11
-6.000000e-01 1.023320e+00 9.945641e-10 7.973084e-11
-4.000000e-01 5.512571e-01 1.007017e-09 6.982408e-11
-3.500000e-01 4.563128e-01 9.030142e-10 1.043651e-10
-3.000000e-01 3.705469e-01 8.708619e-10 1.007831e-10
-2.500000e-01 2.939347e-01 8.678794e-10 6.226930e-11
-2.000000e-01 2.264514e-01 8.939274e-10 5.411312e-11
-1.500000e-01 1.680724e-01 7.689454e-10 5.960656e-11
-1.000000e-01 1.187732e-01 8.321568e-10 5.026939e-11
-5.000000e-02 7.852944e-02 7.156590e-10 4.169294e-11
0.000000e+00 4.731675e-02 7.237986e-10 3.475321e-11
5.000000e-02 2.511099e-02 6.203188e-10 3.703810e-11
1.000000e-01 1.188809e-02 6.767364e-10 3.444664e-11
1.500000e-01 7.624076e-03 6.690082e-10 4.153568e-11
2.000000e-01 1.229510e-02 7.000385e-10 3.830342e-11
2.500000e-01 2.587740e-02 6.657898e-10 4.749573e-11
3.000000e-01 4.834734e-02 6.945027e-10 4.997681e-11
3.500000e-01 7.968136e-02 7.463908e-10 6.088756e-11
4.000000e-01 1.198560e-01 7.736509e-10 5.287902e-11
4.500000e-01 1.688480e-01 8.113749e-10 8.881352e-11
5.000000e-01 2.266341e-01 8.966929e-10 5.921209e-11
6.000000e-01 3.684960e-01 8.666164e-10 1.052611e-10
8.000000e-01 7.567378e-01 1.041985e-09 6.774766e-11
1.000000e+00 1.283130e+00 1.028401e-09 1.391651e-10
1.100000e+00 1.597685e+00 9.157478e-10 1.041839e-10
1.200000e+00 1.946245e+00 9.961904e-10 7.669407e-11
1.400000e+00 2.744681e+00 1.097036e-09 1.499631e-10
1.600000e+00 3.677060e+00 9.174013e-10 7.593305e-11
1.800000e+00 4.742026e+00 7.560756e-10 6.644107e-11
2.000000e+00 5.938247e+00 6.034605e-10 4.712747e-11
2.200000e+00 7.264413e+00 4.280173e-10 5.497912e-11
2.400000e+00 8.719234e+00 3.186581e-10 3.844021e-11
2.600000e+00 1.030144e+01 2.032583e-10 1.778899e-11
2.800000e+00 1.200979e+01 2.401903e-10 2.918182e-11
3.000000e+00 1.384306e+01 1.364353e-10 1.194901e-11
3.200000e+00 1.580003e+01 1.332094e-10 1.540760e-11
3.400000e+00 1.787952e+01 6.250539e-11 6.034169e-12
3.600000e+00 2.008037e+01 6.784029e-11 9.106976e-12
